,Title,Authors,Description,Date,Rating
17,Health Psychology,['Connor Whiteley'],"Perfect for teachers, students and people interested in psychology.BOOK CONTAINS LINK FOR FREE BOOKHow effective are health promotion programmes?Are there social explanations for health problems?What's the Biopsychological model of health and well-being?These are just a few of the interesting and important questions that we will be exploring in this book as we explore what health psychology is and how it affects us. So, join me as together we explore the fascinating world of health psychology in this book with an intriguing conversational tone that clearly breakdown and critically evaluates concepts and theories so everyone can enjoy the wonders of psychology... and not have a headache at the end!",2019-08,NA
18,The Psychology of Doping in Sport,"['Vassilis Barkoukis', 'Lambros Lazuras', 'Haralambos Tsorbatzoudis']","This is the first book to draw together cutting-edge research on the psychological processes underlying doping use in sport and exercise, thereby filling an important gap in our understanding of this centrally important issue in contemporary sport. Covering diverse areas of psychology such as social cognition, automatic and controlled processes, moral decision-making, and societal and contextual influence on behaviour, the book also explores methodological considerations surrounding doping assessment in psychological research as well as future directions for evidence-based preventive interventions and anti-doping education. Written by a team of leading international researchers from countries including the US, Canada, Australia, the UK, Greece, Germany, Italy, Denmark and Ireland, the book integrates empirical findings with theoretical guidance for future psychological research on doping, and illuminates the challenges, needs and priorities in contemporary doping prevention. It is important reading for advanced students and researchers in sport and exercise science, sport management and sport policy, and will open up new perspectives for professional coaches, sports administrators, policy makers and sport medicine specialists looking to better understand the doping behaviours of athletes in sport.",2017-02-07,NA
19,Radical Ecopsychology,['Andy Fisher'],Shows the psychological roots of our ecological crisis.,2002-02-22,NA
20,Psychological Monographs,NA,Includes music.,1945,NA
21,Professional Psychology,NA,NA,1974,NA
22,"Educational Psychology: Concepts, Research and Challenges",['Christine M. Rubie-Davies'],"Research in educational psychology has had a huge impact in terms of enhancing understanding and challenging thinking about teachers and learners. Educational Psychology: Concepts, Research and Challenges brings together the latest research across many areas of educational psychology, introducing and reporting on the most effective methodologies for studying teachers and learners and providing overviews of current debates within the field. With chapters from international authors, this academic text reveals theoretical overviews and research findings from across the field including: teaching and learning research methods motivation and instruction curriculum – reading, writing, mathematics cognition special educational needs and behaviour management sociocultural and socioemotional perspectives assessment and evaluation. Educational psychology has historically had a focus on students with particular learning needs. This book provides a discussion about the gradual movement toward inclusion and the possibility of developing a more cohesive and potentially more effective education system for all students. It also provides recent research into effective behaviour management and presents specific and valuable techniques employed in applied behaviour analysis. The contributors also deliver analysis on the motivation of students and how home and society in general can contribute towards constraining or enhancing student learning. This book is a must-read for academics, researchers, undergraduate and graduate students who recognize the substantial contribution of educational psychology to increasing our understanding of students and their learning, teachers and their teaching.",2010-11-29,NA
23,The Lucifer Effect,['Philip G. Zimbardo'],"In a disturbing and revelatory exploration of the human capacity for evil, renowned psychologist Zimbardo examines how everyone is susceptible to the power of malevolence. He also offers hope and guidance, elucidating the importance of true heroism and disobedience.",2008,NA
24,Get Psyched,['Bill Conn'],"Get Psyched is a great book for those who want a quick and easy tool to learn the basic principles, theories, and concepts of psychology. The basic topics of personality, intelligence, development, mental disorders and treatments, emotion, and social psychology are all covered. But as an extra feature you will not find in most psychology books is the additional information on how to evaluate your dreams, understand the background of our American serial killers, how to interpret handwriting, and some basic concepts in sports psychology.For the student this is an excellent resource to put the subject of psychology into simple and easy to read form. For the everyday reader that wants to get a quick reference on psychology topics, you do not have to spend hours going through a 500-page textbook. And for a high school teacher this is an inexpensive and easy way to teach this interesting subject. This provides you with the framework of information that you can add your own experiences and explanations.Hope you enjoy reading Get Psyched as I had writing it. Teaching psychology has been a great joy in my life and this is the icing on the cake.",2005-12-01,NA
25,"Good Vibes, Good Life",['Vex King'],"Instagram guru Vex King provides guidelines on how to change the way one thinks, feels, speaks, and acts.",2018,NA
26,Theory and Social Psychology,['Roger Sapsford'],"`Could certainly be used as a stand-alone text. Aimed primarily at advanced undergraduates, it could also be read by others who may be prompted to identify yet further dimensions with which to map contemporary social psychology and define their position in relation to others' - The Psychologist This clearly structured textbook presents a broad overview of the key issues that underpin social psychology. These include: the nature of science and `psychology as science'; descriptive, emancipatory and critical theories; and the different ways in which social psychology is applied in the social and political world. Drawing upon a number of different perspectives, this volume will introduce students",1998-05-21,NA
27,Flow,['Mihaly Csikszentmihalyi'],"THE BESTSELLING CLASSIC ON 'FLOW' – THE KEY TO UNLOCKING MEANING, CREATIVITY, PEAK PERFORMANCE, AND TRUE HAPPINESS Legendary psychologist Mihaly Csikszentmihalyi's famous investigations of ""optimal experience"" have revealed that what makes an experience genuinely satisfying is a state of consciousness called flow. During flow, people typically experience deep enjoyment, creativity, and a total involvement with life. In this new edition of his groundbreaking classic work, Csikszentmihalyi (""the leading researcher into ‘flow states’"" —Newsweek) demonstrates the ways this positive state can be controlled, not just left to chance. Flow: The Psychology of Optimal Experience teaches how, by ordering the information that enters our consciousness, we can discover true happiness, unlock our potential, and greatly improve the quality of our lives. ""Explores a happy state of mind called flow, the feeling of complete engagement in a creative or playful activity."" —Time",2009-10-13,NA
28,Performing Psychology,"['Lois Holzman', 'John R. Morss']","More than an academic critique, Performing Psychology offers a new methodology for understanding human life. Arguing that both psychological activity and its study are essentially performance, Neuman and his colleagues expose the myths of mainstream psychology and the limitations of its postmodern challengers.",1999,NA
29,"The Teenager’s Guide to Life, the Universe and Being Awesome",['Andy Cope'],"Congratulations, you're already awesome. You are the best in the world at being you. The problem is that it's easy to forget! This book, by the authors of the extraordinary bestseller THE ART OF BEING A BRILLIANT TEENAGER, is a reminder that you are awesome and a prompt for bigger and better things. It asks not what you want from life, but what kind of person you want to be, exposing the key to planning for your future - building your best qualities so you can stand out and live a brilliant, energetic, successful life. You are already the best in the world at being you. This book will help you get even better.",2019-03-07,NA
30,Emerging Adulthood,['Jeffrey Jensen Arnett'],"Recently the lives of people from age 18 to 29 have changed so dramatically that a new stage of life has developed, emerging adulthood, that is distinct from both the adolescence that precedes it and the young adulthood that comes in its wake. Rather than marrying and becoming parents in their early twenties, most people in industrialized societies now postpone these transitions until at least their late twenties, and instead spend the time in self-focused exploration as they try out different possibilities in their careers and relationships. In Emerging Adulthood, Jeffrey Jensen Arnett identifies and labels, for the first time, this period exploration, instability, possibility, self-focus, and a sustained sense of being in limbo. An increasing number of emerging adults emphasize having meaningful and satisfying work to a degree not seen in prior generations. Marrying later and exploring more casual sexual relationships have created different hopes and fears concerning long-term commitments and the differences between love and sex. Emerging adults also face the challenge of defending their non-traditional lifestyles to parents and others outside their generation who have made much more traditional choices. In contrast to previous portrayals of emerging adults, Arnett's research shows that they are particularly skilled at maintaining contradictory emotions--they are confident while still being wary, and optimistic in the face of large degrees of uncertainty. As the demographics of American youth, the American workplace, and adulthood continue to evolve, Emerging Adulthood is indispensable reading for anyone wanting to understand the face of modern America.",2006-06-01,NA
31,Bulletin of the British Psychological Society,['British Psychological Society'],NA,1979,NA
32,Psychology: Concepts and Connections,['Spencer Rathus'],"Rich in reader-friendly features and up-to-the-minute research, Spencer Rathus's Ninth Edition of PSYCHOLOGY: CONCEPTS AND CONNECTIONS (previously known as PSYCHOLOGY IN THE NEW MILLENNIUM) makes your students' introduction to psychology a meaningful, personal experience. Rathus connects the core concepts of psychology to the events and issues students encounter every day. The book explains classic theories and the latest discoveries in a clear, accessible style intended to reach out to students-without sacrificing Rathus's commitment to showing psychology as the rigorous science that it is. Throughout the text, you'll find an emphasis on diversity and expanded coverage of the evolutionary perspective, plus numerous references to the timeliest research available. And, the text's proven active learning system, PQ4R (Preview, Question, Read, Reflect, Review, and Recite), incorporated into every chapter, seamlessly integrates reading and studying. In addition, Rathus's text features the most integrated multi-platform media package available, with the free student CD-ROM, the full Web site that features Self-Study Assessments (pre- and post-tests), and interactive versions of features from the text-all tightly connected to the text itself to give students the a powerful, comprehensive introduction to psychology. Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version.",2004-02-18,NA
33,Influence (rev),"['Robert B. Cialdini', 'Robert B Cialdini, PhD PH.D.']","""Learn the six psychological secrets behind our powerful impulse to comply."" - cover.",1993,NA
34,A History of Modern Psychology,['C. James Goodwin'],"Discover how past events have shaped psychology as we know it today. Learn about the fascinating people who helped create and shape the field, and develop a deeper understanding of the many interconnections that exist among the different areas of psychology. Goodwin’s book provides an account of the lives and contributions of psychology′s pioneers, along with their original writings, of Watson, James, Titchener, Freud, and more.",2005,NA
35,Advances in Psychology and Law,"['Monica K. Miller', 'Brian H. Bornstein']","The latest entry in this noteworthy series continues its focus on psychological issues relating to legal and judicial matters, with sound recommendations for situational and system-wide improvement. Salient concerns are described both in areas where their existence is frequently acknowledged (juror impartiality, the juvenile justice system) and where they are rarely considered (Miranda warnings, forensic mental health experts). Authors describe differences between professional and lay concepts of justice principles--and the resulting disconnect between community sentiment and the law. Throughout these chapters, psychological nuances and their legal implications are made clear as they relate to lawyers, jurors, suspects, and victims. Included among the topics: · From the headlines to the jury room: an examination of the impact of pretrial publicity on jurors and juries. · Victim impact statements in capital sentencing: 25 years post-Payne. · Psychology and the Fourth Amendment. · Examining the presenting characteristics, short-term effects, and long-term outcomes associated with system-involved youths. · Indigenous youth crime: an international perspective. · An empirical analysis of law-psychology journals: who’s publishing and on what? As with the others in the series, this third volume of Advances in Psychology and Law will interest researchers in legal psychology and related disciplines (e.g., criminal justice) as well as practicing attorneys, trial consultants, and clinical psychologists.",2018-08-05,NA
36,A Dictionary of Psychology,['James Drever'],NA,1978,NA
37,Educational Psychology,['Edward Lee Thorndike'],This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,2009-07,NA
38,Positive Psychology,['John Zelenski'],"Positive Psychology brings together a range of research and a comprehensive review of the more recent work and lessons learned since the founder’s original vision of this field. Organised into five sections: An Introduction, Positive Experiences, Personality Processes, External Influences, and Applications, this text provides a thorough introduction to an interesting and challenging area in Psychology. With a final look at the future of Positive Psychology, and its potential to inform social change and how useful this knowledge can be when considering the well-being of entire societies, this text is an enlightening read and invaluable resources for students. Strongly guided by empirical work this text encourages the reader to think critically and go beyond the facts. Key features: Provides a framework for teaching and understanding global trends in Positive Psychology. Inclusion and a review of up-to-date research. Using storytelling and happiness’s intrinsic appeal to foster interest in the methods we use to answer important questions in Positive Psychology. Online resources including student self-tests, an instructor test bank, and links to additional web content.",2019-11-27,NA
39,Biological Psychology,['Connor Whiteley'],"Perfect for students, teachers and anyone interested in psychology. BOOK CONTAINS LINK FOR FREE BOOK! Want to know how our biology can impact our behaviour? Interested in biological psychology? Or do you just want to know more about psychology and humans in general? If the yes answer to any of those questions, then this is the book for you. As together we explore the amazing world of biological psychology and investigate how hormones, evolution and many more interesting aspects of ourselves influence our behaviour in an engaging conversational tone. By the end of this book not only will you start to become an expert in biological psychology, but you will start your journey to understand human behaviour and learn more about yourself as well. Psychology is a fascinating subject so buy today and discover more about human behaviour! If you like this book, then you'll love my abnormal psychology book as well.",NA,NA
0,A Dictionary of Psychology,['James Drever'],NA,1978,NA
1,Influence (rev),"['Robert B. Cialdini', 'Robert B Cialdini, PhD PH.D.']","""Learn the six psychological secrets behind our powerful impulse to comply."" - cover.",1993,NA
2,Educational Psychology,['Edward Lee Thorndike'],This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,2009-07,NA
3,Biological Psychology,['Connor Whiteley'],"Perfect for students, teachers and anyone interested in psychology. BOOK CONTAINS LINK FOR FREE BOOK! Want to know how our biology can impact our behaviour? Interested in biological psychology? Or do you just want to know more about psychology and humans in general? If the yes answer to any of those questions, then this is the book for you. As together we explore the amazing world of biological psychology and investigate how hormones, evolution and many more interesting aspects of ourselves influence our behaviour in an engaging conversational tone. By the end of this book not only will you start to become an expert in biological psychology, but you will start your journey to understand human behaviour and learn more about yourself as well. Psychology is a fascinating subject so buy today and discover more about human behaviour! If you like this book, then you'll love my abnormal psychology book as well.",NA,NA
4,Essentials of Psychology,['Dennis Coon'],NA,2003-11,NA
5,The Complete Companions for Wjec: Student Book: Year 1 and as Psychology,"['Cara Flanagan', 'Rhiannon Murray', 'Lucy Hartnolll']","Fully revised to match the new 2015 specification from WJEC, this book is written by senior examiners Lucy Hartnoll and Rhiannon Murray, alongside expert author Cara Flanagan. Packed with plenty of study and exam preparation features, it includes new studies and topics as well as extended evaluation of studies.",2015-06-01,NA
6,Positive Psychology,['John Zelenski'],"Positive Psychology brings together a range of research and a comprehensive review of the more recent work and lessons learned since the founder’s original vision of this field. Organised into five sections: An Introduction, Positive Experiences, Personality Processes, External Influences, and Applications, this text provides a thorough introduction to an interesting and challenging area in Psychology. With a final look at the future of Positive Psychology, and its potential to inform social change and how useful this knowledge can be when considering the well-being of entire societies, this text is an enlightening read and invaluable resources for students. Strongly guided by empirical work this text encourages the reader to think critically and go beyond the facts. Key features: Provides a framework for teaching and understanding global trends in Positive Psychology. Inclusion and a review of up-to-date research. Using storytelling and happiness’s intrinsic appeal to foster interest in the methods we use to answer important questions in Positive Psychology. Online resources including student self-tests, an instructor test bank, and links to additional web content.",2019-11-27,NA
7,Psychological Science and the Law,"['Neil Brewer', 'Amy Bradfield Douglass']","Psychological research can provide constructive explanations of key problems in the criminal justice system--and can help generate solutions. This state-of-the-art text dissects the psychological processes associated with fundamental legal questions: Is a suspect lying? Will an incarcerated individual be dangerous in the future? Is an eyewitness accurate? How can false memories be implanted? How do juries, experts, forensic examiners, and judges make decisions, and how can racial and other forms of bias be minimized? Chapters offer up-to-date reviews of relevant theory, experimental methods, and empirical findings. Specific recommendations are made for improving the quality of evidence and preserving the integrity of investigative and legal proceedings.",2019-03-05,NA
8,The Psychology of Digital Media at Work,"['Daantje Derks', 'Arnold B. Bakker']","The central theme of this book is how new media affect organizational behaviour and employee well-being. The research documented in this volume consists of high quality, quantitative studies illustrated by lively practical examples.",2013,NA
9,The New Psychology of Leadership,"['S. Alexander Haslam', 'Stephen D. Reicher', 'Michael J. Platow']","Winner of the University of San Diego Outstanding Leadership Book Award 2012! Shortlisted for the British Psychological Society Book Award 2011! Shortlisted for the CMI (Chartered Management Institute) Management Book of the Year Award 2011–2012! According to John Adair, the most important word in the leader's vocabulary is ""we"" and the least important word is ""I"". But if this is true, it raises one important question: why do psychological analyses of leadership always focus on the leader as an individual – as the great ""I""? One answer is that theorists and practitioners have never properly understood the psychology of ""we-ness"". This book fills this gap by presenting a new psychology of leadership that is the result of two decades of research inspired by social identity and self-categorization theories. The book argues that to succeed, leaders need to create, champion, and embed a group identity in order to cultivate an understanding of 'us' of which they themselves are representative. It also shows how, by doing this, they can make a material difference to the groups, organizations, and societies that they lead. Written in an accessible and engaging style, the book examines a range of central theoretical and practical issues, including the nature of group identity, the basis of authority and legitimacy, the dynamics of justice and fairness, the determinants of followership and charisma, and the practice and politics of leadership. The book will appeal to academics, practitioners and students in social and organizational psychology, sociology, political science and anyone interested in leadership, influence and power.",2010-09-13,NA
10,Owning Your Own Shadow,['Robert A. Johnson'],"A bestselling author shows how we can reclaim and make peace with the ""shadow"" side of our personality.",2013-02-26,NA
11,"You, Inc.","['Harry Beckwith', 'Christine Clifford Beckwith']","In You, Inc. Beckwith provides practical tips, anecdotes and insights based on his 30 years of marketing and selling his advertising services. Beckwith learned early on in his career that no matter what product you're selling, the most important component of the product is you. In You, Inc.: A Field Guide to Selling Yourself, Beckwith relates tantalizing tidbits and real stories of how to harness your enthusiasm with an ability to impress your key accounts.Written in his traditional homespun style, Beckwith offers doses of humour and pithy knowledge to anyone who wants to seal the deal and thrive in business.",2007-03-01,NA
12,Elephants on Acid,['Alex Boese'],"The Sunday Times Top Ten Bestseller Have you ever wondered if a severed head retains consciousness long enough to see what happened to it? Or whether your dog would run to fetch help, if you fell down a disused mineshaft? And what would happen if you were to give an elephant the largest ever single dose of LSD? The chances are that someone, somewhere has conducted a scientific experiment to find out... 'Excellent accounts of some of the most important and interesting experiments in biology and psychology' Simon Singh If left to their own devices, would babies instinctively choose a well-balanced diet? Discover the secret of how to sleep on planes Which really tastes better in a blind tasting - Coke or Pepsi?",2011-03-21,NA
13,Developing Minds,['Elise Klein'],"Development policy makers and practitioners are becoming increasingly sophisticated in their ability to target development interventions and the psychological domain is now a specific frontier of their interventional focus. This landmark study considers the problematic relationship between development and psychology, tracing the deployment of psychological knowledge in the production/reproduction of power relations within the context of neoliberal development policy and intervention. It examines knowledge production and implementation by actors of development policy such as the World Bank and the neo-colonial state - and ends by examining the proposition of a critical psychology for more emancipatory forms of development. The role of psychology in development studies remains a relatively unexplored area, with limited scholarship available. This important book aims to fill that gap by using critical psychology perspectives to explore the focus of the psychological domain of agency in development interventions. It will be essential reading for students, researchers, and policy makers from fields including critical psychology, social psychology, development studies and anthropology. """,2016-10-04,NA
14,Never Enough,"[""Michael D'Antonio""]","In the summer of 2015, as he vaulted to the lead among the many GOP candidates for president, Donald Trump was the only one dogged by questions about his true intentions. This most famous American businessman had played the role of provocateur so often that pundits, reporters, and voters struggled to believe that he was a serious contender. Trump stirred so much controversy that his candidacy puzzled anyone who applied ordinary political logic to the race. But as Michael D'Antonio shows in Never Enough, Trump has rarely been ordinary in his pursuit of success and his trademark method is based on a logic that begins with his firm belief that he is a singular and superior human being. As revealed in this landmark biography, Donald Trump is a man whose appetite for wealth, attention, power, and conquest is practically insatiable. Declaring that he is still the person he was as a rascally little boy, Trump confesses that he avoids reflecting on himself ""because I might not like what I see"" and he believes ""most people aren't worthy of respect."" A product of the media age and the Me Generation that emerged in the 1970s, Trump was a Broadway showman before he became a developer. Mentored by the scoundrel attorney Roy Cohn, Trump was a regular on the New York club scene and won press attention as a dashing young mogul before he had built his first major project. He leveraged his father's enormous fortune and political connections to get his business off the ground, and soon developed a larger-than-life persona. In time, and through many setbacks, he made himself into a living symbol of extravagance and achievement. Drawing upon extensive and exclusive interviews with Trump and many of his family members, including all his adult children, D'Antonio presents the full story of a truly American icon, from his beginnings as a businessman to his stormy romantic life and his pursuit of power in its many forms. For all those who wonder: Just who is Donald Trump?, Never Enough supplies the answer. He is a promoter, builder, performer and politician who pursues success with a drive that borders on obsession and yet, has given him, almost everything he ever wanted.",2015-09-22,NA
15,Health Psychology,['Dinesh Rawat'],NA,2005,NA
16,You are Not So Smart,['David McRaney'],"Explains how self-delusion is part of a person's psychological defense system, identifying common misconceptions people have on topics such as caffeine withdrawal, hindsight, and brand loyalty.",2012,NA
17,Essential Abnormal and Clinical Psychology,"['Andy Field', 'Matt Field', 'Sam Cartwright-Hatton']","Incorporating the latest updates from DSM-5 and ICD-10 and a balanced critique of the DSM approach, this is an essential introduction for undergraduate students taking courses in abnormal and clinical psychology.",2015-09-28,NA
18,Not a Life Coach: Push Your Boundaries. Unlock Your Potential. Redefine Your Life.,['James Smith'],"The follow up to James Smith’s international number one bestseller, Not a Diet Book.",2020-11-26,NA
19,Moral Psychology,['Walter Sinnott-Armstrong'],"Leading philosophers, psychologists, and neuroscientists address issues of moral responsibility and free will, drawing on new findings from empirical science. Traditional philosophers approached the issues of free will and moral responsibility through conceptual analysis that seldom incorporated findings from empirical science. In recent decades, however, striking developments in psychology and neuroscience have captured the attention of many moral philosophers. This volume of Moral Psychology offers essays, commentaries, and replies by leading philosophers and scientists who explain and use empirical findings from psychology and neuroscience to illuminate old and new problems regarding free will and moral responsibility. The contributors—who include such prominent scholars as Patricia Churchland, Daniel Dennett, and Michael Gazzaniga—consider issues raised by determinism, compatibilism, and libertarianism; epiphenomenalism, bypassing, and naturalism; naturalism; and rationality and situationism. These writings show that although science does not settle the issues of free will and moral responsibility, it has enlivened the field by asking novel, profound, and important questions. Contributors Roy F. Baumeister, Tim Bayne, Gunnar Björnsson, C. Daryl Cameron, Hanah A. Chapman, William A. Cunningham, Patricia S. Churchland, Christopher G. Coutlee, Daniel C. Dennett, Ellen E. Furlong, Michael S. Gazzaniga, Patrick Haggard, Brian Hare, Lasana T. Harris, John-Dylan Haynes, Richard Holton, Scott A. Huettel, Robert Kane, Victoria K. Lee, Neil Levy, Alfred R. Mele, Christian Miller, Erman Misirlisoy, P. Read Montague, Thomas Nadelhoffer, Eddy Nahmias, William T. Newsome, B. Keith Payne, Derk Pereboom, Adina L. Roskies, Laurie R. Santos, Timothy Schroeder, Michael N. Shadlen, Walter Sinnott-Armstrong, Chandra Sripada, Christopher L. Suhler, Manuel Vargas, Gideon Yaffe",2008,NA
20,She,['Robert A. Johnson'],"Robert A. Johnson's groundbreaking, brilliant, and insightful work on how women transition into being mature and developing their own identity—newly reissued. What does it mean to be a woman? What is the pathway to mature femininity? And what of the masculine components of a woman’s personality? Many scholars and writers have long considered that the ancient myth of Amor and Psyche is really the story of a woman’s task of becoming whole, complete, and individuated. Here, examining this ancient story in depth and lighting up the details, Robert A. Johnson has produced an arresting and perceptive exploration of what it means to become a woman. You will not read these pages without understanding the important women in your life and a good deal about yourself as a woman. More important than ever before, She offers a compelling study of women.",2009-07-21,NA
21,Essentials of Psychology,['Spencer A. Rathus'],NA,2000-10,NA
22,Educational psychology,"['Anita Woolfolk Hoy', 'Anita Woolfolk']","Renowned for its clarity, readability, and organization, this market-leading Educational Psychology book continues to offer the best blend of current theory, research, and practice in a completely up-to-date new edition. This book provides an organizational framework that readers can immediately grasp to help them understand complex and ever-evolving theories. The Eighth Edition reflects the field's continuing interest in constructivism and authentic learning as well as other areas of growing emphasis such as students with disabilities and inclusion. Other topics that have been added or received significant updating include self-regulated learning, brain development, culturally relevant pedagogy, and student autonomy. Includes free Interactive Companion CD-ROM, featuring video clips of the author discussing important topics and instructive scenes from real classrooms; links to useful websites that deepen awareness of issues pertinent to teaching; activities that provide challenging problems and cases from which readers may gain further insight into the applications of theories covered. For anyone interested in educational psychology.",1987,NA
23,Between Psychology and Psychotherapy (Psychology Revivals),['Miller Mair'],"In this highly original and thought-provoking work the late Miller Mair puts forward his ideas for a new psychology. First published in 1989, he deals with issues of fundamental importance to the future of a psychology guided by genuine enquiry and concern rather than mere professional self-interest. Crossing and re-crossing boundaries between psychology, psychotherapy and philosophy, and between 'science' and 'art', he demonstrates the linkages between the personal and the impersonal, subject and object, inside and outside, with a daring not previously risked by anyone working in the area. Dr Mair stresses the importance of a poetic approach in psychology and psychotherapy, and the need to explore and understand the nature of psychology through an imaginative freedom of language. He emphasizes that a poetic awareness and attentiveness is fundamental to any pursuit of understanding of ourselves or others. This is a very personal book, concerned with personal knowledge, but it is meant for anyone who seeks to understand themselves and others, and what is involved in coming to such understanding. Focusing on ordinary human experience, and moving towards literary and artistic modes of expression, the author invites you to enter in, follow what you think and feel, as he proposes a radical revision of much that is accepted in psychology and in psychotherapy.",2014-12-01,NA
24,Sport Psychology,"['Arnold D. LeUnes', 'Jack R. Nation']",NA,2001-07-10,NA
25,Child Psychology,['Arthur Thomas Jersild'],NA,1966,NA
26,Flow,['Mihaly Csikszentmihalyi'],"What really makes people glad to be alive? What are the inner experiences that make life worthwhile? For more than two decades Mihaly Csikszentmihalyi studied those states in which people report feelings of concentration and deep enjoyment. His studies revealed that what makes experience genuinely satisfying is 'flow' - a state of concentration so focused that it amounts to complete absorption in an activity and results in the achievement of a perfect state of happiness. Flow has become the classic work on happiness and a major contribution to contemporary psychology. It examines such timeless issues as the challenge of lifelong learning; family relationships; art, sport and sex as 'flow'; the pain of loneliness; optimal use of free time; and how to make our lives meaningful.",2013-11-15,NA
27,Foundation of Psychology As a Scientific Discipline,['Steven Carley'],"It seems as if most of behavioral science students and researchers seem to be partial to general psychology. Most of us possess of a psychology background making understanding of the study of behavior and mind more simple. Still, evil satanic three headed dog warriors seem to drive psychology into our brains in the application of the complex task of gaining expertise within the domain. The results are rather messy. Our weapon in understanding psychology is the computer permitting us to circumvent the difficulty of any lack of understanding. The computer to a three-headed dog satanic warrior possesses a similar effect of catnip on the cat. This effect is a ceaseless dribble and purring creature rubbing its head along the ground. The downside of the computer is one can make an idiot of him or herself should they not possess an adequate understanding. Despite this the computer can be a tool of utility within the psychology chest. The aim of my book is to create a balance among practice and theory. The goal is to make of utility the computer as a teaching implement for psychological concepts in the hope you can establish a greater knowledge of practice and theory. Many books, it seems attempt to establish an impression of the right and wrong way of viewing psychology. Although recommendations which are within the limits of the senseless destruction of rain forests, the hope is to provide background in the theoretical concept of psychology permitting you to create decisions about how to best view the domain. A 2nd aim of the book is to create the only psychology book you'll ever need. It is my hope that my book can be your friend during your 1st year at the university level carrying through to your professorship. The book is very much no nonsense, like me, with the first 3 chapters covering self-psychology, social psychology, and biological psychology. This is followed by chapters on motivation and historical figures within the domain. The next 3 chapters discuss mathematical computation and the human brain and nutrition. Chapters 9, 10, and 11 discuss operant and classical conditioning along with aspects of race and case studies involving Schiavo, O'Brien, and Gage. Chapter 12 and 13 cover relationships and stress with 14 and 15 discussing learning/memory along with dreams. The book closes out with three chapters involving sexuality with the final two chapters involving physiological disorders and mental illness. Within each chapter should be something for all. The most important and final aim is making the process of learning fun, despite the content being of mostly serious subject matter. To be honest, it is difficult to credit my academic ability to others such as family. This being a testimony of me being as far as I know the first college graduate, at least for a while. I guess I may thank teachers along the way if anyone. Many of the book's examples, the inspiration as the craziness of the real world are a reflection of topics the average student should be aware exists within the domain. My book is not an attempt of undermining the seriousness of science as you will notice on gazing through some of the content. Perhaps I could have added a joke or a humorous picture here or there, yet in light of some of the subject matter, the decision is to remain more focused on the subject matter and less on showcasing the author's personality. I am sure previous editions of this book to not meet the aim. This is the book initiating my collection of literature, yet one of the last in which I take the personal time to reach the aim of the book. If anyone should feel the necessity to email me and tell me how wonderful I am, you are more than welcome to do so: sgc14x@email.phoenix.edu or steven.carley@snhu.edu. There are no threats of me ruining the hard work of my previous editions with the creation of this final version, hopefully final version. The previous versions, I promise are subpar to my standards and aim of the book.",2014-09-01,NA
28,A Textbook of psychology,['Maude Blanche Muse'],NA,1934,NA
29,Habits of Mind,['Laszlo Mero'],"This look at human thought and how the human mind is used presents Mero's insights about the human mind's ability to enrich itself. With humor and leaning, logic and playfulness, this book encourages readers to develop habits of mind that will help them think more flexibly, creatively, and intuitively. Illustrations.",2001-02-01,NA
30,Introduction to Qualitative Research Methods in Psychology,['Dennis Howitt'],"Dennis Howitt's Introduction to Qualitative Methods in Psychology is better than ever. This trusted and valuable student resources provides clear explanations and examples that take the reader through qualitative research from data collection to analysis. It also features dedicated sections offering guidance on ethics, quality and report writing. Methods are broken down to give step-by-step practical advice and guidance, ensuring that students can understand the theory and carry out their own research. All of this is achieved while providing a thorough theoretical and historical context for the qualitative methods.",2016,NA
31,New 2015 A-level Psychology,['Katherine Faudemer'],NA,2015,NA
